"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"416","Crysencio Summerville","Winger",1277,"Leeds United","Premier League",21,"https://fbref.com/en/players/df04eb4b/Crysencio-Summerville","NED",10,22,1108,0.32,0.16,0.32,0.2,0.11,3.74,2.92,5.52,1.95,0.73,0.01,0.04,0.01,28.27,6.07,0.06,1.3,0.89,0.16,2.92,0.41,1.3,1.22,0.65,2.52,0.73,0.65,3.83,42.64,20.79,3.74,1.54,3.35,28.35,1.87,1.06,2.76,1.14,1.91
"417","Curtis Jones","Midfield",1400,"Liverpool","Premier League",22,"https://fbref.com/en/players/4fb9c88f/Curtis-Jones","ENG",3,9,332,0,0,0,0.05,0.05,2.71,7.05,5.96,1.08,0.27,0,0,0.01,61.54,23.53,0.14,3.8,1.9,0,4.07,0.27,1.08,0.27,0.27,2.17,1.08,0.81,10.17,75.63,26.3,2.44,1.08,12.04,49.61,1.36,1.63,1.9,1.36,27.11
"418","Cyriel Dessers","Forward",635,"Cremonese","Serie A",28,"https://fbref.com/en/players/dcb38abe/Cyriel-Dessers","NGA",17,23,1441,0.31,0.06,0.31,0.34,0.1,1.12,1.56,6.25,2.75,0.62,0.01,0.03,0.01,15.99,3.95,0.09,0.62,0.5,0.06,2.56,0.12,0.19,0.87,0.19,0.81,0.31,0.12,2.5,26.67,16.8,1.94,0.62,2.02,15.18,0.56,1.37,0.81,0.5,1.56
"419","Cyril Ngonge","Winger",1054,"Hellas Verona","Serie A",22,"https://fbref.com/en/players/2b8360f1/Cyril-Ngonge","BEL",5,8,374,0.48,0.24,0.48,0.22,0.12,2.65,2.65,5.53,3.13,1.2,0.04,0.1,0.02,23.34,14.63,0.12,1.44,1.44,0.96,3.85,0.24,0.48,0.96,0.48,1.68,0.48,0.24,4.02,40.19,19.01,4.81,1.68,8.42,25.03,1.68,1.44,1.68,2.65,7.56
"420","Cyrille Bayala","Winger",4,"Ajaccio","Ligue 1",26,"https://fbref.com/en/players/20e0dd86/Cyrille-Bayala","BFA",21,27,1642,0.05,0.05,0.05,0.1,0.1,2.19,3.18,5.21,1.15,0.33,0,0.01,0,30.31,3.33,0.08,2.03,0.55,0.16,2.08,0.11,1.86,1.1,1.15,3.73,0.71,1.1,2.81,43.85,18.09,3.01,1.04,1.89,28.72,1.53,0.66,1.04,1.92,2.38
"421","Daichi Kamada","Attacking Midfield",754,"Eint Frankfurt","Bundesliga",26,"https://fbref.com/en/players/15b287da/Daichi-Kamada","JPN",19,25,1701,0.37,0.21,0.26,0.29,0.12,1.75,5.77,4.02,1.48,0.48,0.01,0.03,0.01,50.69,4.22,0.14,4.6,0.85,0.16,3.28,0.74,1.16,1.22,0.74,2.65,0.69,1.16,2.77,61.11,15.71,1.64,0.69,2.22,34.76,1.16,0.53,1.01,2.43,1.9
"422","Daley Blind","Centre-Back",318,"Bayern Munich","Bundesliga",33,"https://fbref.com/en/players/691bef82/Daley-Blind","NED",1,4,134,0,0,0,0.07,0.07,0,6.72,0,0.67,0.67,0,0,0.04,67.16,58.43,0.2,5.37,0.67,0,2.69,0,0,2.69,1.34,2.69,4.03,0,0,78.58,6.04,0,0,NA,41.64,0,0,0,0.67,44.8
"423","Daley Sinkgraven","Full-Back",1357,"Leverkusen","Bundesliga",27,"https://fbref.com/en/players/73000a79/Daley-Sinkgraven","NED",4,12,344,0,0.52,0,0.05,0.34,2.09,2.09,4.45,1.05,0.26,0,0,0.01,54.68,19.91,0.08,3.14,0.26,0.26,2.35,0.78,1.83,2.09,1.31,3.92,1.83,1.83,20.35,68.02,15.96,1.57,0.78,13.08,33.75,1.57,0.26,1.05,0.78,9.81
"424","Damián Suárez","Full-Back",997,"Getafe","La Liga",34,"https://fbref.com/en/players/ba5004e1/Damian-Suarez","URU",17,19,1247,0.07,0,0.07,0.03,0.08,1.01,3.97,3.46,0.22,0.07,0.02,0.07,0.01,49.37,4.93,0.08,2.67,1.08,0.58,2.31,0.07,1.59,2.09,0.79,3.32,1.59,1.08,4.33,59.11,15.52,1.3,0.43,2.4,25.19,1.3,0.22,0.58,4.26,4.24
"425","Damien Da Silva","Centre-Back",1447,"Lyon","Ligue 1",34,"https://fbref.com/en/players/1ec7e1c5/Damien-Da-Silva","FRA",3,7,338,0,0,0,0.03,0,0.53,4.79,0.27,0.53,0,0,NA,0.02,67.63,22.74,0.03,3.73,0.53,0,0.27,0,1.86,1.07,1.33,3.46,3.2,0.8,26.63,78.55,6.66,0.53,0.27,13.31,54.85,1.6,0,0.53,0.53,16.83
