"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"1","Aaron Cresswell","Full-Back",2715,"West Ham","Premier League",33,"https://fbref.com/en/players/4f974391/Aaron-Cresswell","ENG",18,21,1671,0,0,0,0.02,0.15,1.51,6.79,3.72,0.38,0.05,0,0,0,61.83,4.28,0.13,4.2,1.4,0.7,3.07,0,0.43,0.97,1.24,2.1,2.48,0.38,1.98,68.89,18.64,0.38,0.11,1.54,32.53,1.13,0.05,0.32,5.98,2.98
"2","Aaron Hickey","Full-Back",468,"Brentford","Premier League",20,"https://fbref.com/en/players/1780bb4a/Aaron-Hickey","SCO",16,18,1335,0,0,0,0.01,0.01,1.89,3.71,2.29,0.47,0.13,0,0,0,36.88,5.53,0.03,2.83,0.54,0.2,0.81,0.07,1.55,0.88,1.08,3.37,1.62,1.15,3.82,47.06,10.25,2.43,0.74,2.06,27.3,0.88,0.07,2.02,1.35,2.53
"3","Aarón Martín","Full-Back",1514,"Mainz 05","Bundesliga",25,"https://fbref.com/en/players/2f3e911a/Aaron-Martin","ESP",17,21,1492,0.18,0.18,0.18,0.07,0.16,1.27,4.46,3.26,0.78,0.24,0.01,0.05,0.01,51.58,4.56,0.17,3.74,1.51,0.9,3.14,0.24,1.33,0.84,0.78,2.71,1.45,0.97,3.86,59.12,19.36,1.03,0.54,3.19,28.95,0.97,0.06,0.6,7.66,0.67
"4","Aaron Ramsdale","Goalkeeper",108,"Arsenal","Premier League",24,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale","ENG",30,30,2700,0,0,0,0,0,0,0.23,0,0,0,NA,NA,NA,28.2,2.26,0,0.73,0.07,0,0.07,0,0.03,0,0,0.03,0.5,0.03,3.33,30.4,0,0.03,0.03,3.33,18.43,0.03,0,0.1,0,3.33
"5","Aaron Ramsey","Midfield",1849,"Nice","Ligue 1",32,"https://fbref.com/en/players/ef619b0b/Aaron-Ramsey","WAL",16,24,1397,0.06,0.06,0.06,0.15,0.1,1.29,7.15,4.77,1.35,0.39,0,0.01,0.01,61.01,5.44,0.13,5.22,1.22,0.19,3.48,0.26,1.48,1.42,1.1,3.99,1.1,0.97,2.84,72.54,20.04,1.42,0.84,3.81,54.5,1.55,0.32,1.03,3.16,2.02
"6","Aaron Wan-Bissaka","Full-Back",1595,"Manchester Utd","Premier League",25,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka","ENG",9,12,829,0,0,0,0.09,0.09,2.61,3.47,3.91,0.54,0.11,0,0,0.02,52.87,9.01,0.08,3.15,0.65,0.22,1.85,0.11,1.74,1.3,1.52,4.02,3.04,1.63,10.18,64.27,17.37,2.06,1.09,5.71,33,1.41,0.33,0.22,0.98,5.11
"7","Abdallah Sima","Winger",92,"Angers","Ligue 1",21,"https://fbref.com/en/players/fdbde523/Abdallah-Sima","SEN",15,26,1377,0.2,0,0.2,0.26,0.09,1.76,1.18,6.86,2.09,0.52,0.01,0.02,0.01,17.84,4.74,0.07,0.78,0.39,0.07,1.83,0.33,0.65,0.39,0.2,1.31,0.98,0.33,2.52,28.69,13.46,1.96,0.78,2.61,18.82,0.98,0.72,0.98,0.85,2.71
"8","Abdelhamid Sabiri","Attacking Midfield",2193,"Sampdoria","Serie A",26,"https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri","MAR",12,16,1006,0.18,0,0.09,0.11,0.13,0.63,4.2,4.74,2.59,0.81,0,0.01,0,39.18,5.99,0.11,3.67,1.07,0,3.49,0,0.63,1.34,0.18,1.7,0.45,0.36,2.76,52.34,22.37,3.4,1.16,3.06,30.69,1.79,0.45,3.13,4.65,4.55
"9","Abdessamad Ezzalzouli","Winger",1895,"Osasuna","La Liga",21,"https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli","MAR",13,21,1029,0.26,0.17,0.26,0.16,0.13,5.34,2.62,8.92,2.45,0.79,0.01,0.03,0.01,34.55,5.91,0.24,0.79,1.75,0.7,3.41,0.26,1.05,1.31,0.26,1.84,0.35,0.61,4.08,50.38,29.39,6.56,3.67,4.9,34.2,3.32,2.19,2.19,4.55,1.25
"10","Abdón Prats","Forward",1541,"Mallorca","La Liga",30,"https://fbref.com/en/players/d1b060e2/Abdon-Prats","ESP",1,20,279,0.32,0.32,0.32,0.23,0.45,0.32,2.58,3.55,1.94,1.29,0.05,0.08,0.04,21.94,22.77,0.06,1.29,0.97,0,1.29,0.32,0,1.61,0,0.32,0.65,0,NA,34.52,15.16,1.94,0.65,10.74,18.71,0.32,0.97,1.94,0,5.87
"11","Abdou Diallo","Centre-Back",1941,"RB Leipzig","Bundesliga",26,"https://fbref.com/en/players/fc62f087/Abdou-Diallo","SEN",5,5,436,0.21,0,0.21,0.08,0.02,2.27,4.54,0.41,0.83,0.21,0.05,0.21,0.02,71.22,17.71,0.06,4.54,0.83,0,1.03,0,1.03,0.83,1.44,2.68,3.72,0.21,6.87,81.33,4.75,0.62,0.62,20.64,53.67,0.62,0.21,0.21,0.21,11.79
"12","Abdou Harroui","Midfield",2213,"Sassuolo","Serie A",25,"https://fbref.com/en/players/65fd099c/Abdou-Harroui","NED",3,18,422,0.43,0,0.43,0.28,0.02,1.92,4.91,4.91,2.35,0.85,0.04,0.11,0.03,45,17.08,0.04,4.69,1.07,0.21,1.92,0.21,0.64,1.28,0.21,2.77,1.49,0.43,6.1,58.01,18.98,1.28,0.64,10.66,30.92,2.35,0.21,0,1.92,14.23
"13","Abdoul Kader Bamba","Winger",1760,"Nantes","Ligue 1",28,"https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba","FRA",1,4,78,0,0,0,0.12,0,1.15,3.46,13.85,1.15,1.15,0,0,0.1,50.77,94.38,0,2.31,0,0,3.46,0,0,3.46,0,0,1.15,0,0,62.31,26.54,1.15,0,0,48.46,1.15,1.15,2.31,3.46,115.38
"14","Abdoulaye Bamba","Full-Back",65,"Angers","Ligue 1",32,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba","CIV",5,13,684,0,0,0,0,0.04,0.79,3.03,1.45,0,0,NA,NA,NA,45.79,10.92,0.07,3.95,0.53,0.26,0.66,0,1.05,0.53,1.45,3.55,1.84,1.45,13.16,54.47,6.45,0.66,0.26,5.26,38.95,0.39,0,1.05,1.71,7.01
"15","Abdoulaye Doucouré","Midfield",870,"Everton","Premier League",30,"https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure","MLI",11,19,993,0.18,0.18,0.18,0.14,0.12,1.45,2.81,3.26,1.09,0.27,0.02,0.06,0.01,35.8,7.16,0.07,1.9,0.63,0,2.54,0.18,1,1.63,0.82,2.54,0.63,0.82,3.02,45.41,14.77,1.99,1.18,5.36,24.65,1,0.45,0.36,0.45,2.66
"16","Abdu Conté","Full-Back",2511,"Troyes","Ligue 1",25,"https://fbref.com/en/players/cfa49cc1/Abdu-Conte","POR",13,16,1177,0.08,0.15,0.08,0.05,0.15,2.29,3.9,6.65,0.31,0.15,0.02,0.04,0.01,53.14,5.99,0.13,2.75,0.99,0.46,1.76,0.15,1.07,0.92,0.46,2.14,1.76,0.84,4.21,61.25,14.99,1.15,0.08,0.51,41.75,1.53,0.38,0.76,2.75,5.35
"17","Abdul Mumin","Centre-Back",1981,"Rayo Vallecano","La Liga",24,"https://fbref.com/en/players/5487adcd/Abdul-Mumin","GHA",3,8,335,0,0,0,0.05,0,1.07,2.69,0.27,0.81,0.27,0,0,0.01,50.78,20.61,0,2.96,0.27,0.27,1.07,0,0.54,1.07,0.81,1.61,2.42,0,NA,60.45,2.42,1.61,0.81,13.43,40.57,1.07,0,1.07,0.54,15.34
"18","Abner","Full-Back",345,"Betis","La Liga",22,"https://fbref.com/en/players/7f9c5d2d/Abner","BRA",5,8,392,0,0,0,0.39,0.02,0.92,2.53,3.67,0.92,0.23,0,0,0.1,50.74,17.04,0.11,2.3,0.46,0.23,1.38,0.23,1.84,1.15,1.38,3.9,3.44,1.61,12.35,62.68,15.84,1.38,0.23,3.83,28.93,0.46,0.69,0.46,1.38,8.2
"19","Achraf Dari","Centre-Back",494,"Brest","Ligue 1",23,"https://fbref.com/en/players/5069b796/Achraf-Dari","MAR",15,18,1317,0.07,0,0.07,0.03,0,0.21,2.26,0.07,0.27,0.14,0.02,0.03,0.01,47.15,5.42,0.01,1.71,0,0,0.48,0.14,0.96,1.09,1.3,2.73,4.44,0.96,4.78,57.81,1.09,0.07,0.07,6.83,38.34,0.07,0,0.89,0.07,4.05
"20","Achraf Hakimi","Full-Back",1919,"Paris S-G","Ligue 1",24,"https://fbref.com/en/players/e42d61c7/Achraf-Hakimi","MAR",18,23,1688,0.21,0.16,0.21,0.15,0.15,3.95,4.43,10.24,0.8,0.37,0.01,0.03,0.01,64.57,4.75,0.23,1.97,1.97,0.53,3.47,0.43,1.44,1.55,0.59,3.04,0.75,1.44,3.13,74.27,29.22,3.09,1.17,2.02,58.92,2.99,1.07,0.69,1.6,2.22
"21","Adam Armstrong","Forward",2302,"Southampton","Premier League",26,"https://fbref.com/en/players/68c720b5/Adam-Armstrong","ENG",12,24,1111,0.08,0.08,0.08,0.13,0.06,3,1.22,4.78,1.62,0.81,0,0.01,0.01,21.55,5.97,0.06,0.97,0.73,0.16,1.46,0.08,0.57,1.22,0.32,1.22,0.41,0,0,32.24,16.04,2.59,0.65,2.03,18.47,1.94,0.81,0.57,1.13,1.62
"22","Adam Buksa","Forward",1310,"Lens","Ligue 1",26,"https://fbref.com/en/players/3b676989/Adam-Buksa","POL",0,4,63,0,0,0,0,0,0,1.43,10,0,0,NA,NA,NA,22.86,71.43,0,1.43,0,0,0,0,0,0,0,1.43,0,0,NA,37.14,15.71,0,0,NA,30,0,0,1.43,1.43,47.57
"23","Adam Forshaw","Midfield",1258,"Leeds United","Premier League",31,"https://fbref.com/en/players/9f1938ab/Adam-Forshaw","ENG",2,5,159,0,0,0,0,0.28,0,4.53,0,0,0,NA,NA,NA,36.79,47.04,0.11,4.53,0,0,2.26,0,0.57,1.7,0,1.13,0.57,0.57,9.45,44.72,6.23,2.83,2.26,45.28,24.91,1.13,0,1.7,2.26,0
"24","Adam Hložek","Winger",1348,"Leverkusen","Bundesliga",20,"https://fbref.com/en/players/5521f419/Adam-Hlozek","CZE",13,22,1024,0.35,0.26,0.35,0.21,0.22,1.67,2.55,5.19,2.29,0.88,0.01,0.04,0.01,25.31,6.44,0.11,1.76,0.53,0,3.16,0.7,0.26,0.7,0.44,1.14,0.7,0.18,3.52,36.21,14.94,1.76,0.7,3.52,17.84,0.97,0.79,1.58,1.32,3.15
"25","Adam Lallana","Attacking Midfield",524,"Brighton","Premier League",34,"https://fbref.com/en/players/99813635/Adam-Lallana","ENG",12,16,722,0.25,0.12,0.25,0.11,0.12,1.25,4.11,5.36,1,0.62,0.03,0.05,0.01,39.52,10.3,0.15,2.87,1.12,0.12,2.74,0.25,0.5,0.75,0.25,1.37,0.12,0,0,46.5,18.82,0.75,0.37,6.23,25.68,0.5,0.5,0.87,0.37,5.87
"26","Adam Marušić","Full-Back",1211,"Lazio","Serie A",30,"https://fbref.com/en/players/d4535821/Adam-Marusic","MNE",26,27,2367,0,0.08,0,0.03,0.04,1.37,3.76,1.48,0.57,0.27,0,0,0,60.91,3.27,0.05,3.5,0.27,0.15,1.25,0.11,0.95,0.65,1.22,2.43,2.02,0.61,2.17,67.79,9.01,0.46,0.27,2.22,36.01,1.33,0.15,0.46,0.57,2.1
"27","Adam Masina","Full-Back",2548,"Udinese","Serie A",29,"https://fbref.com/en/players/de0f152c/Adam-Masina","MAR",5,8,497,0.18,0,0.18,0,0.02,0.54,2.72,0.72,0.18,0.18,0.18,0.18,0.01,47.26,13.87,0.04,2.72,0.72,0.54,0.36,0,0.72,1.09,1.81,2.72,3.44,0.54,7.77,54.87,5.25,0,0,NA,32.05,0.36,0.18,0.18,1.45,13.8
"28","Adam Ounas","Winger",1377,"Lille","Ligue 1",26,"https://fbref.com/en/players/ed90babd/Adam-Ounas","ALG",11,16,899,0.1,0.1,0.1,0.2,0.25,4.91,5.71,10.01,2.5,0.9,0,0.01,0.01,45.95,6.98,0.25,3.1,2.6,0.3,4.81,0.5,1,1.5,0.6,2.3,0.4,0.5,5.01,60.27,33.04,7.61,3.6,4.75,45.95,3.6,0.7,2.7,6.51,3.85
"29","Adam Smith","Full-Back",449,"Bournemouth","Premier League",31,"https://fbref.com/en/players/20b104bc/Adam-Smith","ENG",29,29,2470,0,0.04,0,0.02,0.03,0.77,2.66,1.06,0.18,0.04,0,0,0,38.55,2.75,0.04,2.19,0.77,0.47,0.73,0.07,0.87,0.98,0.66,2.19,2.48,0.95,1.69,46.6,9.11,0.95,0.18,0.7,19.42,0.66,0.04,0.8,1.24,1.63
"30","Adam Webster","Centre-Back",537,"Brighton","Premier League",28,"https://fbref.com/en/players/c40b6180/Adam-Webster","ENG",18,22,1610,0,0,0,0.09,0.01,0.89,5.09,0.39,0.84,0.06,0,0,0.01,76.58,4.9,0.02,5.59,0.22,0.06,0.84,0.06,0.61,1.45,0.95,1.96,2.52,0.45,3.44,84.69,5.03,0.45,0.17,2.1,54.28,0.67,0,0.28,0.11,3.88
"31","Adama Soumaoro","Centre-Back",425,"Bologna","Serie A",30,"https://fbref.com/en/players/7b075c75/Adama-Soumaoro","FRA",18,19,1592,0,0,0,0.02,0,0.34,2.15,0.06,0.11,0.06,0,0,0.01,50.03,5.23,0.01,1.3,0.06,0,0.4,0.06,0.73,0.9,0.85,1.98,3.45,0.17,3.39,57.44,1.13,0.11,0.11,5.65,33.35,0.17,0,0.45,0,3.67
"32","Adama Traoré","Winger",2788,"Wolves","Premier League",27,"https://fbref.com/en/players/9a28eba4/Adama-Traore","ESP",10,27,1257,0.14,0.07,0.14,0.09,0.25,5.08,2.29,9.88,1.15,0.36,0.01,0.03,0.01,30.72,4.74,0.21,1.07,1.36,0.93,2.79,0.21,0.43,0.5,0.14,1,0.64,0.21,3.07,43.6,23.27,6.23,2.79,3.21,29,2.58,1.36,2.36,5.01,4.68
"33","Ademola Lookman","Winger",155,"Atalanta","Serie A",25,"https://fbref.com/en/players/7c104bb7/Ademola-Lookman","NGA",20,28,1632,0.72,0.22,0.55,0.36,0.34,3.92,4.03,9.49,2.59,1.21,0.01,0.02,0.01,34.14,4.19,0.26,1.43,1.82,0.22,4.52,0.55,0.17,0.99,0.22,0.83,0,0.17,1.18,45.28,24.49,4.08,1.82,2.46,29.94,1.38,1.76,1.82,2.04,1.1
"34","Adil Aouchiche","Attacking Midfield",1414,"Lorient","Ligue 1",20,"https://fbref.com/en/players/b94b8be1/Adil-Aouchiche","FRA",1,10,205,0,0,0,0.22,0.04,5.71,8.34,7.46,3.07,1.32,0,0,0.03,51.8,32.36,0.04,4.83,1.32,0,2.2,0,0.44,0.44,1.32,3.07,0,0.44,7.33,66.29,21.95,2.2,0,0,50.05,3.51,0.44,2.2,6.15,0
"35","Adil Rami","Centre-Back",2527,"Troyes","Ligue 1",37,"https://fbref.com/en/players/8dbff17c/Adil-Rami","FRA",12,14,1085,0,0.08,0,0.05,0.05,0.33,1.91,0.17,0.66,0.17,0,0,0.01,41.72,6.89,0.01,2.82,0.17,0.08,0.66,0.08,0.83,0.75,1.24,2.32,3.82,1,4.15,50.76,2.16,0.5,0.25,4.15,35.83,0.58,0,0.66,0.41,4.88
"36","Adnan Januzaj","Winger",2282,"Sevilla","La Liga",28,"https://fbref.com/en/players/4737cebe/Adnan-Januzaj","BEL",1,2,47,0,0,0,0,0,0,1.91,11.49,0,0,NA,NA,NA,45.96,119.68,0,0,0,0,0,0,0,0,1.91,1.91,0,0,0,57.45,30.64,15.32,7.66,95.74,36.38,1.91,0,3.83,1.91,NA
"37","Adolfo Gaich","Forward",1042,"Hellas Verona","Serie A",24,"https://fbref.com/en/players/8dfed6e9/Adolfo-Gaich","ARG",5,9,471,0.19,0,0.19,0.29,0.04,0.76,1.53,4.97,2.87,0.76,0.01,0.05,0.02,23.5,11.5,0.02,1.15,0,0,2.87,0,0.57,0.57,0.38,1.34,1.15,0.19,4.78,36.11,16.05,2.29,1.53,12.75,20.64,0.38,0.76,1.91,0,6.36
"38","Adri Embarba","Winger",45,"Almería","La Liga",30,"https://fbref.com/en/players/db8f0eba/Adri-Embarba","ESP",12,20,969,0.09,0.28,0.09,0.15,0.26,4.09,2.88,7.52,2.41,1.02,0,0.01,0.01,34.46,5.83,0.16,1.39,0.65,0.28,4.09,0.37,1.67,1.3,0.65,3.9,0.46,1.11,4.64,52.48,25.82,6.69,2.51,3.48,30.28,2.97,0.93,1.58,7.62,1.86
"39","Adrian Grbić","Forward",1422,"Lorient","Ligue 1",26,"https://fbref.com/en/players/4a987ffa/Adrian-Grbic","AUT",0,2,25,0,0,0,0.72,0,3.6,0,7.2,10.8,0,0,NA,0.22,7.2,180,0,0,0,0,0,0,0,10.8,0,0,0,0,0,39.6,25.2,0,0,NA,21.6,3.6,0,0,0,0
"40","Adrien Hunou","Forward",79,"Angers","Ligue 1",29,"https://fbref.com/en/players/d14229f3/Adrien-Hunou","FRA",23,26,1804,0.15,0.05,0.15,0.29,0.11,1.45,2.34,5.94,1.9,0.8,0,0.01,0.01,28.94,3.67,0.04,1.5,0.5,0.05,2,0.25,0.9,1.35,0.25,2,0.35,0.65,1.97,39.41,14.82,1.4,0.5,1.78,30.08,1.5,0.45,2.05,0.55,1.97
"41","Adrien Rabiot","Midfield",1166,"Juventus","Serie A",28,"https://fbref.com/en/players/8794e251/Adrien-Rabiot","FRA",23,24,2028,0.36,0.13,0.36,0.21,0.09,1.82,4.44,3.11,1.42,0.84,0.01,0.02,0.01,37.5,3.56,0.07,3.02,0.8,0.04,2.88,0.31,1.02,1.42,0.93,2.8,1.42,0.89,2.06,49.75,14.56,1.86,0.93,2.22,27.51,2.04,0.09,1.6,1.11,2.49
"42","Adrien Tameze","Midfield",1059,"Hellas Verona","Serie A",29,"https://fbref.com/en/players/8da74c05/Adrien-Tameze","CMR",26,28,2281,0,0,0,0.03,0.03,0.91,3.47,1.7,0.32,0.04,0,0,0,33.77,2.98,0.04,2.88,0.43,0.04,1.54,0.12,0.83,1.62,1.14,2.6,1.85,0.71,1.58,44.19,7.3,1.46,0.75,2.03,21.98,1.14,0.16,1.03,0.59,1.93
"43","Adrien Thomasson","Attacking Midfield",1333,"Lens","Ligue 1",29,"https://fbref.com/en/players/c76b7567/Adrien-Thomasson","FRA",9,12,739,0.24,0.37,0.24,0.22,0.13,1.71,3.78,6.82,1.34,0.49,0.02,0.06,0.02,40.43,9.32,0.09,3.78,0.97,0.24,3.04,0.61,1.71,1.95,0.49,2.56,0.97,0.97,4.06,51.15,19.12,1.1,0.61,6.77,40.8,1.58,0.12,1.58,1.22,4.48
"44","Adrien Truffert","Full-Back",2106,"Rennes","Ligue 1",21,"https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert","FRA",24,28,1954,0,0.28,0,0.03,0.07,2.53,4.1,7.65,0.46,0.14,0,0,0,64.25,3.65,0.07,3.27,0.78,0.46,2.35,0.37,1.47,1.47,1.01,3.87,2.53,1.43,3.1,76.27,21.51,2.12,0.97,2.1,49.33,2.44,0.41,1.15,1.61,2.61
"45","Agustín Marchesín","Goalkeeper",548,"Celta Vigo","La Liga",35,"https://fbref.com/en/players/853b7c48/Agustin-Marchesin","ARG",19,19,1710,0,0,0,0,0,0,0.05,0,0,0,NA,NA,NA,33.42,3.72,0,0.32,0,0,0.11,0,0,0,0,0,0.37,0,0,35.63,0,0,0,NA,20.63,0,0,0.21,0,5.26
"46","Agustín Rogel","Centre-Back",1084,"Hertha BSC","Bundesliga",25,"https://fbref.com/en/players/ea42c03f/Agustin-Rogel","URU",12,15,1107,0,0.08,0,0.07,0,0.08,1.54,0.16,0.41,0,0,NA,0.01,38.37,6.22,0.01,0.81,0,0,0.41,0.08,0.73,0.89,0.89,2.28,3.5,0.81,5.8,47.15,1.3,0,0,NA,20.33,0.08,0,0.33,0,4.63
"47","Aihen Muñoz","Full-Back",2034,"Real Sociedad","La Liga",25,"https://fbref.com/en/players/228b0d9d/Aihen-Munoz","ESP",12,15,1054,0,0,0,0.01,0.03,1.96,2.39,5.38,0.34,0.09,0,0,0,51.92,6.67,0.05,1.79,0.94,0.51,1.88,0.09,1.11,1.37,0.34,2.48,2.05,1.2,3.74,63.02,18.7,1.88,0.68,3.11,32.19,1.54,0.09,0.51,2.82,4.58
"48","Aïman Maurer","attack",615,"Clermont Foot","Ligue 1",18,"https://fbref.com/en/players/87d31635/Aiman-Maurer","MAR",5,8,419,0,0,0,0.24,0.11,3.87,1.5,7.52,1.93,0.86,0,0,0.03,21.91,15.57,0.17,0.43,0.86,0.21,2.15,0,0.21,0,0.43,0.86,1.07,0.21,2.38,34.37,14.82,6.01,3.44,12.26,26.21,1.72,1.72,2.58,3.01,7.15
"49","Aimar Oroz","Attacking Midfield",1908,"Osasuna","La Liga",21,"https://fbref.com/en/players/7c363088/Aimar-Oroz","ESP",14,22,1272,0.21,0.14,0.14,0.15,0.06,1.2,3.54,6.86,1.13,0.35,0.01,0.03,0.01,35.24,5.55,0.06,1.91,0.99,0,3.18,0.35,0.5,0.99,1.06,2.05,0.35,0.14,0.94,45.64,20.31,2.69,1.27,3.35,28.44,1.2,0.28,2.76,0.35,2.24
"50","Ainsley Maitland-Niles","Winger",2316,"Southampton","Premier League",25,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles","ENG",10,17,1070,0,0,0,0,0.05,0.93,3.62,1.09,0.08,0.08,0,0,0,41.89,6.64,0.05,3.53,0.67,0.25,1.51,0.17,1.77,1.77,1.26,4.54,3.11,2.1,6.01,55.01,8.41,1.26,0.93,6.17,23.38,0.76,0.17,0.59,0.67,4.8
"51","Aïssa Mandi","Centre-Back",2669,"Villarreal","La Liga",31,"https://fbref.com/en/players/fbd6378b/Aissa-Mandi","ALG",7,12,666,0,0,0,0.01,0.03,0.68,2.3,0.54,0.14,0.14,0,0,0.01,51.08,12.15,0.01,1.89,0.14,0,0.54,0.27,0.95,0.95,1.76,3.11,4.19,0.14,2.7,60.41,4.32,0.41,0.14,4.5,32.3,0.81,0,0.95,0.14,8.31
"52","Aitor Fernández","Goalkeeper",1896,"Osasuna","La Liga",31,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez","ESP",15,15,1350,0,0,0,0,0,0,0.07,0,0,0,NA,NA,NA,35.87,4.37,0,1.2,0,0,0.2,0.07,0.07,0,0.07,0.13,0.67,0,0,38.07,0,0,0,NA,20.6,0,0,0,0,4.45
"53","Aitor Paredes","Centre-Back",189,"Athletic Club","La Liga",22,"https://fbref.com/en/players/b906757a/Aitor-Paredes","ESP",2,9,239,0,0,0,0.11,0,0.75,3.77,0.38,1.88,0.75,0,0,0.02,48.58,32.12,0,1.88,0,0,0.75,0,0.75,1.51,2.64,3.77,2.26,1.13,22.59,59.12,3.77,0,0,NA,36.9,0.38,0,0.75,0,15.06
"54","Aitor Ruibal","Winger",371,"Betis","La Liga",27,"https://fbref.com/en/players/a55d8df5/Aitor-Ruibal","ESP",13,22,1233,0,0,0,0.04,0.11,2.34,3.8,4.16,0.8,0.29,0,0,0,51.02,5.66,0.07,3.36,0.73,0.29,2.19,0.07,1.75,0.95,1.61,4.6,2.55,1.9,3.96,65.04,17.23,4.23,2.26,3.9,34.16,1.9,0.36,1.24,1.75,2.92
"55","Ajdin Hrustic","Midfield",1047,"Hellas Verona","Serie A",26,"https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic","AUS",3,6,226,0,0,0,0.12,0.24,2.79,3.19,4.78,1.19,0,0,NA,0.04,37.43,31.78,0.24,0.4,1.99,0.4,2.79,0.4,0.4,0.8,0,0.8,0.8,0.4,19.91,48.19,18.72,4.78,1.59,13.26,25.09,2.39,0.8,0.8,2.79,9.96
"56","Akim Zedadka","Full-Back",290,"Auxerre","Ligue 1",27,"https://fbref.com/en/players/0ff630d0/Akim-Zedadka","ALG",13,13,1099,0,0,0,0.03,0.06,1.64,3.11,4.34,0.66,0,0,NA,0,42.26,6.3,0.07,2.13,0.82,0.49,1.47,0.08,1.47,0.98,1.64,3.93,3.11,1.31,5.04,55.11,13.59,1.97,0.66,2.73,32.35,0.98,0.33,1.8,2.37,4.22
"57","Alassane Pléa","Forward",1486,"M'Gladbach","Bundesliga",30,"https://fbref.com/en/players/bc6bd723/Alassane-Plea","FRA",17,23,1491,0.12,0.54,0.06,0.19,0.23,1.93,4.83,8.09,1.51,0.6,0,0.01,0.01,37.97,4.13,0.29,3.56,1.81,0.36,3.56,0.72,0.42,1.21,0.6,1.51,0.85,0.42,2.22,47.69,20.64,1.75,0.91,3.12,28.67,1.75,0.66,1.57,2.41,2.07
"58","Alban Lafont","Goalkeeper",1761,"Nantes","Ligue 1",24,"https://fbref.com/en/players/4e7db402/Alban-Lafont","FRA",29,29,2609,0,0,0,0,0,0.03,0.03,0,0,0,NA,NA,NA,32.7,2.42,0,0.34,0.03,0,0.17,0,0,0,0,0,0.59,0,0,36.05,0,0.1,0.03,1.15,23.6,0,0,0.1,0,3.45
"59","Albert Sambi Lokonga","Midfield",111,"Arsenal","Premier League",23,"https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga","BEL",2,6,198,0,0,0,0,0,0,5.45,0.91,0,0,NA,NA,NA,63.64,42.86,0.05,7.73,0.45,0,1.82,0,0.45,0.45,2.27,2.73,0.91,0,0,70,13.18,0.91,0.45,22.73,43.64,2.73,0,2.27,0,27.27
"60","Alberth Elis","Winger",498,"Brest","Ligue 1",27,"https://fbref.com/en/players/104b4ad3/Alberth-Elis","HON",2,8,241,0,0,0,0.19,0.07,1.87,1.49,6.35,1.49,0.37,0,0,0.05,14.19,28.49,0.11,0.75,1.12,0.37,4.48,0,1.12,0.37,0.37,1.87,0.75,0.37,5.34,28.01,11.95,4.11,0.75,6.8,19.79,2.24,1.12,1.49,0.75,7.99
"61","Alberto Grassi","Midfield",815,"Empoli","Serie A",28,"https://fbref.com/en/players/6cc97b6a/Alberto-Grassi","ITA",7,17,605,0,0,0,0.06,0.01,0.3,4.17,0.74,0.89,0.3,0,0,0.01,41.36,11.77,0.01,2.38,0.6,0,0.89,0.15,2.38,1.93,2.83,5.5,4.31,1.49,11.44,57.12,6.1,0.6,0.15,3.72,21.42,0.45,0,1.04,0,9.67
"62","Alberto Moreno","Full-Back",2671,"Villarreal","La Liga",30,"https://fbref.com/en/players/11b9265b/Alberto-Moreno","ESP",10,16,887,0,0,0,0.03,0.09,2.33,2.84,5.68,0.81,0.1,0,0,0,51.75,8.24,0.09,1.01,1.72,0.41,1.72,0,0.3,1.01,1.52,2.64,2.13,0.51,3.18,61.49,21.82,1.12,0.41,3.69,32.16,2.03,0.2,0.51,2.94,6.34
"63","Alberto Perea","Winger",710,"Cádiz","La Liga",32,"https://fbref.com/en/players/5496cc91/Alberto-Perea","ESP",1,1,45,0,0,0,0,0,0,4,4,0,0,NA,NA,NA,24,166.6,0,0,0,0,2,0,0,4,0,4,0,0,NA,40,14,12,4,66.6,10,0,0,4,2,0
