"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"34",2018,"Getafe","La Liga","team",32,28.2,40.2,38,418,3420,38,41,27,68,36,5,12,130,5,374,1092,1.08,0.71,1.79,0.95,1.66,48.2,38.6,29.6,68.2,1.27,0.78,2.05,1.02,1.79,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
"35",2018,"Girona","La Liga","team",25,26.3,46.8,38,418,3420,38,50,31,81,44,6,8,102,0,590,1215,1.32,0.82,2.13,1.16,1.97,50.6,44.4,34.4,78.8,1.33,0.9,2.24,1.17,2.07,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
"36",2018,"Guingamp","Ligue 1","team",23,27.2,49.7,38,418,3420,38,46,27,73,40,6,7,65,2,763,1519,1.21,0.71,1.92,1.05,1.76,45.5,40.1,30,70.1,1.2,0.79,1.99,1.06,1.85,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
"37",2018,"Hamburger SV","Bundesliga","team",29,25,49,34,374,3060,34,28,18,46,25,3,5,NA,NA,568,1283,0.82,0.53,1.35,0.74,1.26,37.7,33.8,24.1,58,1.11,0.71,1.82,0.99,1.7,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
"38",2018,"Hannover 96","Bundesliga","team",26,26.4,46.9,34,374,3060,34,44,26,70,40,4,5,NA,NA,472,1237,1.29,0.76,2.06,1.18,1.94,44.6,40.6,30.7,71.4,1.31,0.9,2.22,1.2,2.1,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
"39",2018,"Hellas Verona","Serie A","team",32,25.9,41.9,38,418,3420,38,30,19,49,23,7,7,NA,NA,635,1077,0.79,0.5,1.29,0.61,1.11,33,27.7,21.1,48.8,0.87,0.56,1.42,0.73,1.28,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
"40",2018,"Hertha BSC","Bundesliga","team",25,26.4,46.1,34,374,3060,34,43,32,75,39,4,5,NA,NA,426,1219,1.26,0.94,2.21,1.15,2.09,39.2,35.3,27.8,63.1,1.15,0.82,1.97,1.04,1.86,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
"41",2018,"Hoffenheim","Bundesliga","team",26,25,51.2,34,374,3060,34,64,47,111,60,4,5,NA,NA,644,1351,1.88,1.38,3.26,1.76,3.15,50.5,46.6,36.6,83.2,1.48,1.08,2.56,1.37,2.45,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
"42",2018,"Huddersfield","Premier League","team",25,26.4,45.7,38,418,3420,38,25,19,44,23,2,2,NA,NA,627,1210,0.66,0.5,1.16,0.61,1.11,31.3,29.8,23.7,53.5,0.82,0.62,1.45,0.78,1.41,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
"43",2018,"Inter","Serie A","team",22,27.6,57.1,38,418,3420,38,64,34,98,58,6,7,NA,NA,947,1877,1.68,0.89,2.58,1.53,2.42,56.7,51.3,43.8,95.2,1.49,1.15,2.65,1.35,2.51,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
"44",2018,"Juventus","Serie A","team",24,29.2,57.2,38,418,3420,38,82,39,121,78,4,8,NA,NA,789,1704,2.16,1.03,3.18,2.05,3.08,55.3,49.4,37.9,87.2,1.46,1,2.45,1.3,2.3,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
"45",2018,"Köln","Bundesliga","team",31,25.3,47.4,34,374,3060,34,33,24,57,30,3,3,NA,NA,507,1331,0.97,0.71,1.68,0.88,1.59,43.2,41,29.8,70.8,1.27,0.88,2.15,1.21,2.08,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
"46",2018,"La Coruña","La Liga","team",32,28.2,46.8,38,418,3420,38,38,30,68,35,3,5,99,2,640,1477,1,0.79,1.79,0.92,1.71,51.6,47.7,40,87.7,1.36,1.05,2.41,1.25,2.31,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
"47",2018,"Las Palmas","La Liga","team",36,27,54.7,38,418,3420,38,24,15,39,18,6,8,88,3,726,1332,0.63,0.39,1.03,0.47,0.87,38.5,32.3,24.8,57.1,1.01,0.65,1.66,0.85,1.5,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
"48",2018,"Lazio","Serie A","team",24,26.5,51.1,38,418,3420,38,86,51,137,77,9,11,NA,NA,915,1802,2.26,1.34,3.61,2.03,3.37,63.7,55.2,45.8,101,1.68,1.21,2.88,1.45,2.66,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
"49",2018,"Leganés","La Liga","team",28,27.8,43,38,418,3420,38,32,23,55,30,2,3,102,5,534,1111,0.84,0.61,1.45,0.79,1.39,39.9,37.6,30,67.6,1.05,0.79,1.84,0.99,1.78,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
"50",2018,"Leicester City","Premier League","team",27,27.2,48,38,418,3420,38,53,38,91,48,5,6,NA,NA,655,1271,1.39,1,2.39,1.26,2.26,50,45.3,34.9,80.2,1.32,0.92,2.24,1.19,2.11,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
"51",2018,"Levante","La Liga","team",33,25.7,42.8,38,418,3420,38,43,28,71,38,5,5,108,6,676,1286,1.13,0.74,1.87,1,1.74,44.7,40.8,31.8,72.7,1.18,0.84,2.02,1.07,1.91,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
"52",2018,"Leverkusen","Bundesliga","team",24,24,54.6,34,374,3060,34,58,46,104,55,3,5,NA,NA,696,1661,1.71,1.35,3.06,1.62,2.97,57.5,53.6,42.4,95.9,1.69,1.25,2.94,1.58,2.82,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
"53",2018,"Lille","Ligue 1","team",25,22.6,53.8,38,418,3420,38,41,31,72,39,2,2,59,6,831,1581,1.08,0.82,1.89,1.03,1.84,36.4,34.8,29.7,64.5,0.96,0.78,1.74,0.92,1.7,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
"54",2018,"Liverpool","Premier League","team",27,25.6,60.3,38,418,3420,38,82,58,140,80,2,3,NA,NA,982,2236,2.16,1.53,3.68,2.11,3.63,72.9,70.6,52.7,123.3,1.92,1.39,3.31,1.86,3.24,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
"55",2018,"Lyon","Ligue 1","team",26,24.4,55.6,38,418,3420,38,85,62,147,79,6,7,71,2,949,1670,2.24,1.63,3.87,2.08,3.71,63.4,58.3,43.9,102.2,1.67,1.15,2.82,1.53,2.69,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
"56",2018,"M'Gladbach","Bundesliga","team",27,25.7,52,34,374,3060,34,46,26,72,40,6,7,NA,NA,578,1385,1.35,0.76,2.12,1.18,1.94,51.1,45.8,35,80.8,1.5,1.03,2.53,1.35,2.38,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
"57",2018,"Mainz 05","Bundesliga","team",27,25.3,44.4,34,374,3060,34,38,27,65,34,4,4,NA,NA,484,1116,1.12,0.79,1.91,1,1.79,35.4,32.3,25.5,57.8,1.04,0.75,1.79,0.95,1.7,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
"58",2018,"Manchester City","Premier League","team",25,26.4,71,38,418,3420,38,103,85,188,97,6,8,NA,NA,1308,2570,2.71,2.24,4.95,2.55,4.79,78.6,72.7,57.9,130.6,2.07,1.52,3.59,1.91,3.44,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
"59",2018,"Manchester Utd","Premier League","team",27,26.7,54.7,38,418,3420,38,67,53,120,66,1,3,NA,NA,920,1564,1.76,1.39,3.16,1.74,3.13,55.7,53.3,40.5,93.8,1.47,1.07,2.53,1.4,2.47,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
"60",2018,"Marseille","Ligue 1","team",26,27.2,57.8,38,418,3420,38,79,54,133,74,5,8,81,2,947,1586,2.08,1.42,3.5,1.95,3.37,78.1,71.7,55.9,127.6,2.06,1.47,3.53,1.89,3.36,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
"61",2018,"Metz","Ligue 1","team",36,27.4,45.5,38,418,3420,38,33,27,60,30,3,4,78,7,589,1518,0.87,0.71,1.58,0.79,1.5,40.3,37.2,30,67.3,1.06,0.79,1.85,0.98,1.77,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
"62",2018,"Milan","Serie A","team",23,25,56,38,418,3420,38,54,28,82,50,4,6,NA,NA,778,2016,1.42,0.74,2.16,1.32,2.05,51.2,46.6,35.3,81.9,1.35,0.93,2.28,1.23,2.15,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
"63",2018,"Monaco","Ligue 1","team",32,25.8,50.9,38,418,3420,38,83,56,139,76,7,8,70,4,735,1742,2.18,1.47,3.66,2,3.47,62.3,56.1,43.1,99.2,1.64,1.13,2.77,1.48,2.61,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
"64",2018,"Montpellier","Ligue 1","team",23,26.4,47,38,418,3420,38,36,28,64,36,0,2,72,1,749,1572,0.95,0.74,1.68,0.95,1.68,42.6,41,31,72.1,1.12,0.82,1.94,1.08,1.9,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
"65",2018,"Málaga","La Liga","team",37,27.2,44.1,38,418,3420,38,23,15,38,19,4,6,99,8,463,1169,0.61,0.39,1,0.5,0.89,38.4,33.7,26.3,60,1.01,0.69,1.7,0.89,1.58,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
"66",2018,"Nantes","Ligue 1","team",30,25.6,43.7,38,418,3420,38,36,24,60,32,4,5,63,6,559,1405,0.95,0.63,1.58,0.84,1.47,41.8,37.9,29.4,67.3,1.1,0.77,1.87,1,1.77,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
"67",2018,"Napoli","Serie A","team",23,28,63.4,38,418,3420,38,73,45,118,67,6,8,NA,NA,971,2468,1.92,1.18,3.11,1.76,2.95,67.1,60.7,50.8,111.6,1.77,1.34,3.1,1.6,2.94,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
"68",2018,"Newcastle Utd","Premier League","team",27,25.6,41.7,38,418,3420,38,38,29,67,38,0,1,NA,NA,548,1145,1,0.76,1.76,1,1.76,41.6,40.9,32.1,72.9,1.1,0.84,1.94,1.08,1.92,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
"69",2018,"Nice","Ligue 1","team",31,25,58.1,38,418,3420,38,52,35,87,44,8,10,80,4,841,1637,1.37,0.92,2.29,1.16,2.08,49.2,41.7,31.9,73.6,1.3,0.84,2.14,1.1,1.94,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
"70",2018,"Paris S-G","Ligue 1","team",28,26.1,66.3,38,418,3420,38,100,75,175,93,7,9,65,6,1044,2068,2.63,1.97,4.61,2.45,4.42,86.1,79.3,65.1,144.4,2.26,1.71,3.98,2.09,3.8,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
"71",2018,"RB Leipzig","Bundesliga","team",23,23.4,55,34,374,3060,34,57,43,100,53,4,5,NA,NA,778,1591,1.68,1.26,2.94,1.56,2.82,51.9,48,39.6,87.6,1.53,1.17,2.69,1.41,2.58,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
"72",2018,"Real Madrid","La Liga","team",24,27.1,60.2,38,418,3420,38,91,65,156,83,8,10,65,4,1131,2383,2.39,1.71,4.11,2.18,3.89,85.4,77.5,62.8,140.2,2.25,1.65,3.9,2.04,3.69,"https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats"
"73",2018,"Real Sociedad","La Liga","team",27,25.9,56.5,38,418,3420,38,64,47,111,60,4,5,60,5,883,1605,1.68,1.24,2.92,1.58,2.82,53.7,49.7,38.9,88.7,1.41,1.02,2.44,1.31,2.33,"https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats"
"74",2018,"Rennes","Ligue 1","team",28,24.2,49.9,38,418,3420,38,48,32,80,42,6,8,64,5,619,1505,1.26,0.84,2.11,1.11,1.95,49.8,43.6,33,76.5,1.31,0.87,2.18,1.15,2.01,"https://fbref.com/en/squads/b3072e00/2017-2018/Rennes-Stats"
"75",2018,"Roma","Serie A","team",27,27.4,58,38,418,3420,38,56,37,93,53,3,6,NA,NA,938,1989,1.47,0.97,2.45,1.39,2.37,63.4,58.8,46.7,105.5,1.67,1.23,2.9,1.55,2.78,"https://fbref.com/en/squads/cf74a709/2017-2018/Roma-Stats"
"76",2018,"SPAL","Serie A","team",29,26.7,44.7,38,418,3420,38,37,14,51,32,5,6,NA,NA,704,1218,0.97,0.37,1.34,0.84,1.21,35.8,31.1,21.5,52.5,0.94,0.56,1.51,0.82,1.38,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats"
"77",2018,"Saint-Étienne","Ligue 1","team",30,26.6,51.3,38,418,3420,38,45,31,76,38,7,11,71,8,732,1552,1.18,0.82,2,1,1.82,51,42.8,35.4,78.2,1.34,0.93,2.27,1.13,2.06,"https://fbref.com/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats"
"78",2018,"Sampdoria","Serie A","team",27,27,53.6,38,418,3420,38,56,33,89,49,7,8,NA,NA,614,1627,1.47,0.87,2.34,1.29,2.16,53.5,47.2,35.5,82.7,1.41,0.93,2.34,1.24,2.18,"https://fbref.com/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats"
"79",2018,"Sassuolo","Serie A","team",28,27.2,42.9,38,418,3420,38,28,16,44,24,4,10,NA,NA,640,1492,0.74,0.42,1.16,0.63,1.05,46.3,38.4,27.7,66.1,1.22,0.73,1.95,1.01,1.74,"https://fbref.com/en/squads/e2befd26/2017-2018/Sassuolo-Stats"
"80",2018,"Schalke 04","Bundesliga","team",24,26.1,46.6,34,374,3060,34,50,33,83,40,10,10,NA,NA,776,1248,1.47,0.97,2.44,1.18,2.15,46.7,38.9,31.4,70.3,1.37,0.92,2.3,1.14,2.07,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats"
"81",2018,"Sevilla","La Liga","team",31,27.1,54.3,38,418,3420,38,48,35,83,44,4,5,97,3,817,1824,1.26,0.92,2.18,1.16,2.08,59.5,55.7,42.8,98.5,1.57,1.13,2.69,1.47,2.59,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats"
"82",2018,"Southampton","Premier League","team",26,26.2,51.3,38,418,3420,38,36,23,59,33,3,3,NA,NA,694,1609,0.95,0.61,1.55,0.87,1.47,39.9,37.6,29.5,67,1.05,0.78,1.83,0.99,1.76,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats"
"83",2018,"Stoke City","Premier League","team",30,27.5,41.4,38,418,3420,38,34,28,62,34,0,3,NA,NA,477,1150,0.89,0.74,1.63,0.89,1.63,36.5,34.1,27.4,61.4,0.96,0.72,1.68,0.9,1.62,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats"
"84",2018,"Strasbourg","Ligue 1","team",25,27.2,49.1,38,418,3420,38,43,26,69,36,7,7,71,4,658,1289,1.13,0.68,1.82,0.95,1.63,45.5,40,29.8,69.8,1.2,0.78,1.98,1.05,1.84,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats"
"85",2018,"Stuttgart","Bundesliga","team",26,25.6,46.6,34,374,3060,34,35,22,57,34,1,3,NA,NA,474,1026,1.03,0.65,1.68,1,1.65,40.3,38,26.3,64.3,1.19,0.77,1.96,1.12,1.89,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats"
"86",2018,"Swansea City","Premier League","team",26,27.2,45.3,38,418,3420,38,27,20,47,26,1,1,NA,NA,596,1194,0.71,0.53,1.24,0.68,1.21,31.6,30.8,20.2,51,0.83,0.53,1.36,0.81,1.34,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats"
"87",2018,"Torino","Serie A","team",27,28.1,51.1,38,418,3420,38,53,36,89,53,0,2,NA,NA,703,1425,1.39,0.95,2.34,1.39,2.34,46,44.4,35.1,79.6,1.21,0.92,2.14,1.17,2.09,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats"
