"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"1","Aaron Cresswell","Full-Back",2722,"West Ham","Premier League",33,"https://fbref.com/en/players/4f974391/Aaron-Cresswell","ENG",19,22,1761,0,0,0,0.02,0.15,1.43,6.44,3.58,0.41,0.05,0,0,0,60.41,4.01,0.13,3.99,1.33,0.66,3.17,0,0.46,0.92,1.23,2.2,2.4,0.51,2.13,67.51,18.71,0.36,0.1,1.46,31.58,1.07,0.05,0.36,5.93,2.82
"2","Aaron Hickey","Full-Back",469,"Brentford","Premier League",20,"https://fbref.com/en/players/1780bb4a/Aaron-Hickey","SCO",17,19,1407,0,0,0,0.01,0.01,1.86,3.9,2.24,0.45,0.13,0,0,0,37.48,5.25,0.03,3.07,0.51,0.19,0.77,0.06,1.47,0.83,1.02,3.2,1.6,1.09,3.63,47.53,10.3,2.37,0.77,2.07,27.44,0.9,0.06,1.98,1.28,2.56
"3","Aarón Martín","Full-Back",1519,"Mainz 05","Bundesliga",25,"https://fbref.com/en/players/2f3e911a/Aaron-Martin","ESP",17,22,1508,0.18,0.18,0.18,0.07,0.16,1.25,4.6,3.4,0.78,0.24,0.01,0.04,0.01,51.86,4.51,0.18,3.76,1.55,0.9,3.16,0.24,1.31,0.84,0.78,2.69,1.43,0.95,3.82,59.38,19.58,1.01,0.54,3.16,29.3,1.01,0.06,0.6,7.7,0.6
"4","Aaron Ramsdale","Goalkeeper",108,"Arsenal","Premier League",24,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale","ENG",31,31,2790,0,0,0,0,0,0,0.23,0,0,0,NA,NA,NA,28.65,2.22,0,0.71,0.06,0,0.06,0,0.03,0,0,0.03,0.48,0.03,3.23,30.84,0,0.03,0.03,3.23,18.68,0.03,0,0.1,0,3.23
"5","Aaron Ramsey","Midfield",1854,"Nice","Ligue 1",32,"https://fbref.com/en/players/ef619b0b/Aaron-Ramsey","WAL",16,24,1397,0.06,0.06,0.06,0.15,0.1,1.29,7.15,4.77,1.35,0.39,0,0.01,0.01,61.01,5.44,0.13,5.22,1.22,0.19,3.48,0.26,1.48,1.42,1.1,3.99,1.1,0.97,2.84,72.54,20.04,1.42,0.84,3.81,54.5,1.55,0.32,1.03,3.16,2.02
"6","Aaron Wan-Bissaka","Full-Back",1600,"Manchester Utd","Premier League",25,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka","ENG",10,13,919,0,0,0,0.09,0.09,3.04,3.92,4.11,0.59,0.1,0,0,0.01,55.53,8.23,0.08,3.53,0.78,0.2,1.96,0.1,1.66,1.57,1.57,4.02,2.84,1.66,9.24,67.28,18.71,2.35,1.27,5.31,35.45,1.76,0.29,0.2,0.88,4.9
"7","Abdallah Sima","Winger",92,"Angers","Ligue 1",21,"https://fbref.com/en/players/fdbde523/Abdallah-Sima","SEN",15,27,1400,0.19,0,0.19,0.26,0.1,1.74,1.16,7.01,2.06,0.51,0.01,0.02,0.01,18.26,4.66,0.08,0.84,0.39,0.06,1.86,0.32,0.64,0.45,0.19,1.35,0.96,0.32,2.48,29.06,13.76,1.93,0.77,2.57,19.22,0.96,0.71,0.96,0.84,2.67
"8","Abdelhamid Sabiri","Attacking Midfield",2198,"Sampdoria","Serie A",26,"https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri","MAR",12,17,1051,0.17,0,0.09,0.12,0.12,0.6,4.2,4.62,2.65,0.77,0,0.01,0,39.05,5.73,0.1,3.68,1.03,0,3.51,0,0.6,1.46,0.17,1.63,0.43,0.34,2.64,52.06,21.92,3.25,1.11,2.93,30.57,1.71,0.43,3.17,4.62,4.43
"9","Abdessamad Ezzalzouli","Winger",1900,"Osasuna","La Liga",21,"https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli","MAR",14,22,1103,0.24,0.16,0.24,0.16,0.13,5.06,2.69,8.4,2.37,0.82,0.01,0.02,0.01,33.86,5.61,0.22,0.82,1.71,0.65,3.35,0.24,1.06,1.22,0.24,1.8,0.33,0.65,3.84,49.61,28.56,6.77,3.59,4.32,34.11,3.35,2.04,2.45,4.41,1.63
"10","Abdón Prats","Forward",1546,"Mallorca","La Liga",30,"https://fbref.com/en/players/d1b060e2/Abdon-Prats","ESP",1,20,279,0.32,0.32,0.32,0.23,0.45,0.32,2.58,3.55,1.94,1.29,0.05,0.08,0.04,21.94,22.77,0.06,1.29,0.97,0,1.29,0.32,0,1.61,0,0.32,0.65,0,NA,34.52,15.16,1.94,0.65,10.74,18.71,0.32,0.97,1.94,0,5.87
"11","Abdou Diallo","Centre-Back",1946,"RB Leipzig","Bundesliga",26,"https://fbref.com/en/players/fc62f087/Abdou-Diallo","SEN",5,6,442,0.2,0,0.2,0.08,0.02,2.24,4.48,0.41,0.81,0.2,0.05,0.2,0.02,71.47,17.41,0.06,4.68,0.81,0,1.02,0,1.02,0.81,1.43,2.65,3.87,0.2,6.78,81.86,5.09,0.61,0.61,20.36,53.55,0.61,0.2,0.2,0.2,11.63
"12","Abdou Harroui","Midfield",2218,"Sassuolo","Serie A",25,"https://fbref.com/en/players/65fd099c/Abdou-Harroui","NED",3,19,442,0.41,0,0.41,0.29,0.06,2.04,4.68,4.68,2.65,0.81,0.03,0.1,0.02,43.57,16.37,0.08,4.48,1.22,0.41,2.24,0.2,1.02,1.22,0.2,3.26,1.83,0.41,5.82,57.42,18.94,1.22,0.61,10.18,30.14,2.44,0.41,0,2.24,12.52
"13","Abdoul Kader Bamba","Winger",1765,"Nantes","Ligue 1",28,"https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba","FRA",1,4,78,0,0,0,0.12,0,1.15,3.46,13.85,1.15,1.15,0,0,0.1,50.77,94.38,0,2.31,0,0,3.46,0,0,3.46,0,0,1.15,0,0,62.31,26.54,1.15,0,0,48.46,1.15,1.15,2.31,3.46,115.38
"14","Abdoulaye Bamba","Full-Back",65,"Angers","Ligue 1",32,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba","CIV",5,14,734,0,0,0,0,0.04,0.74,2.82,1.35,0,0,NA,NA,NA,45.37,10.28,0.06,3.68,0.49,0.25,0.61,0,0.98,0.61,1.47,3.43,2.08,1.35,12.26,54.07,6.13,0.61,0.25,4.9,38.75,0.37,0,1.1,1.59,6.9
"15","Abdoulaye Doucouré","Midfield",874,"Everton","Premier League",30,"https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure","MLI",11,19,993,0.18,0.18,0.18,0.14,0.12,1.45,2.81,3.26,1.09,0.27,0.02,0.06,0.01,35.8,7.16,0.07,1.9,0.63,0,2.54,0.18,1,1.63,0.82,2.54,0.63,0.82,3.02,45.41,14.77,1.99,1.18,5.36,24.65,1,0.45,0.36,0.45,2.66
"16","Abdu Conté","Full-Back",2517,"Troyes","Ligue 1",25,"https://fbref.com/en/players/cfa49cc1/Abdu-Conte","POR",13,16,1177,0.08,0.15,0.08,0.05,0.15,2.29,3.9,6.65,0.31,0.15,0.02,0.04,0.01,53.14,5.99,0.13,2.75,0.99,0.46,1.76,0.15,1.07,0.92,0.46,2.14,1.76,0.84,4.21,61.25,14.99,1.15,0.08,0.51,41.75,1.53,0.38,0.76,2.75,5.35
"17","Abdul Mumin","Centre-Back",1986,"Rayo Vallecano","La Liga",24,"https://fbref.com/en/players/5487adcd/Abdul-Mumin","GHA",4,9,425,0,0,0,0.04,0,0.85,2.75,0.21,0.64,0.21,0,0,0.01,47.86,16.5,0.02,2.75,0.21,0.21,0.85,0,0.85,1.06,1.06,2.12,2.33,0.21,10.59,57.81,2.33,1.48,0.64,9.08,38.33,1.06,0,1.06,0.42,9.4
"18","Abner","Full-Back",346,"Betis","La Liga",22,"https://fbref.com/en/players/7f9c5d2d/Abner","BRA",5,8,392,0,0,0,0.39,0.02,0.92,2.53,3.67,0.92,0.23,0,0,0.1,50.74,17.04,0.11,2.3,0.46,0.23,1.38,0.23,1.84,1.15,1.38,3.9,3.44,1.61,12.35,62.68,15.84,1.38,0.23,3.83,28.93,0.46,0.69,0.46,1.38,8.2
"19","Achraf Dari","Centre-Back",495,"Brest","Ligue 1",23,"https://fbref.com/en/players/5069b796/Achraf-Dari","MAR",15,18,1317,0.07,0,0.07,0.03,0,0.21,2.26,0.07,0.27,0.14,0.02,0.03,0.01,47.15,5.42,0.01,1.71,0,0,0.48,0.14,0.96,1.09,1.3,2.73,4.44,0.96,4.78,57.81,1.09,0.07,0.07,6.83,38.34,0.07,0,0.89,0.07,4.05
"20","Achraf Hakimi","Full-Back",1924,"Paris S-G","Ligue 1",24,"https://fbref.com/en/players/e42d61c7/Achraf-Hakimi","MAR",19,24,1778,0.2,0.15,0.2,0.16,0.14,3.75,4.3,9.82,0.81,0.4,0.01,0.03,0.01,64.69,4.51,0.22,1.92,1.87,0.51,3.44,0.4,1.52,1.52,0.61,3.09,0.81,1.42,2.95,74.56,29.87,2.99,1.11,1.89,59.02,2.83,1.01,0.76,1.52,2.11
"21","Adam Armstrong","Forward",2307,"Southampton","Premier League",26,"https://fbref.com/en/players/68c720b5/Adam-Armstrong","ENG",12,24,1111,0.08,0.08,0.08,0.13,0.06,3,1.22,4.78,1.62,0.81,0,0.01,0.01,21.55,5.97,0.06,0.97,0.73,0.16,1.46,0.08,0.57,1.22,0.32,1.22,0.41,0,0,32.24,16.04,2.59,0.65,2.03,18.47,1.94,0.81,0.57,1.13,1.62
"22","Adam Buksa","Forward",1315,"Lens","Ligue 1",26,"https://fbref.com/en/players/3b676989/Adam-Buksa","POL",0,4,63,0,0,0,0,0,0,1.43,10,0,0,NA,NA,NA,22.86,71.43,0,1.43,0,0,0,0,0,0,0,1.43,0,0,NA,37.14,15.71,0,0,NA,30,0,0,1.43,1.43,47.57
"23","Adam Forshaw","Midfield",1263,"Leeds United","Premier League",31,"https://fbref.com/en/players/9f1938ab/Adam-Forshaw","ENG",2,6,173,0,0,0,0,0.26,0,4.16,0,0,0,NA,NA,NA,34.86,43.49,0.1,4.16,0,0,2.08,0,0.52,1.56,0,1.04,1.04,0.52,8.69,43.18,5.72,2.6,2.08,41.62,24.45,1.04,0,1.56,2.08,0
"24","Adam Hložek","Winger",1353,"Leverkusen","Bundesliga",20,"https://fbref.com/en/players/5521f419/Adam-Hlozek","CZE",14,23,1101,0.33,0.25,0.33,0.2,0.2,1.55,2.45,5.23,2.21,0.82,0.01,0.03,0.01,25.1,6.02,0.11,1.72,0.49,0,3.02,0.65,0.25,0.65,0.41,1.06,0.74,0.16,2.34,35.97,14.88,1.8,0.74,3.34,17.9,1.06,0.74,1.55,1.23,2.92
"25","Adam Lallana","Attacking Midfield",525,"Brighton","Premier League",34,"https://fbref.com/en/players/99813635/Adam-Lallana","ENG",12,16,722,0.25,0.12,0.25,0.11,0.12,1.25,4.11,5.36,1,0.62,0.03,0.05,0.01,39.52,10.3,0.15,2.87,1.12,0.12,2.74,0.25,0.5,0.75,0.25,1.37,0.12,0,0,46.5,18.82,0.75,0.37,6.23,25.68,0.5,0.5,0.87,0.37,5.87
"26","Adam Marušić","Full-Back",1216,"Lazio","Serie A",30,"https://fbref.com/en/players/d4535821/Adam-Marusic","MNE",27,28,2457,0,0.07,0,0.03,0.04,1.32,3.74,1.5,0.55,0.26,0,0,0,61.03,3.14,0.04,3.59,0.26,0.15,1.28,0.11,1.03,0.62,1.25,2.56,1.98,0.73,2.29,67.99,8.9,0.44,0.26,2.14,35.64,1.28,0.15,0.44,0.59,2.02
"27","Adam Masina","Full-Back",2554,"Udinese","Serie A",29,"https://fbref.com/en/players/de0f152c/Adam-Masina","MAR",5,9,502,0.18,0,0.18,0,0.02,0.54,2.87,0.9,0.18,0.18,0.18,0.18,0.01,48.05,13.72,0.04,2.69,0.72,0.54,0.36,0,0.72,1.08,1.79,2.69,3.41,0.54,7.69,55.76,6.27,0,0,NA,32.63,0.36,0.18,0.18,1.43,13.66
"28","Adam Ounas","Winger",1382,"Lille","Ligue 1",26,"https://fbref.com/en/players/ed90babd/Adam-Ounas","ALG",11,16,899,0.1,0.1,0.1,0.2,0.25,4.91,5.71,10.01,2.5,0.9,0,0.01,0.01,45.95,6.98,0.25,3.1,2.6,0.3,4.81,0.5,1,1.5,0.6,2.3,0.4,0.5,5.01,60.27,33.04,7.61,3.6,4.75,45.95,3.6,0.7,2.7,6.51,3.85
"29","Adam Smith","Full-Back",450,"Bournemouth","Premier League",31,"https://fbref.com/en/players/20b104bc/Adam-Smith","ENG",29,30,2512,0,0.04,0,0.02,0.03,0.75,2.65,1.07,0.18,0.04,0,0,0,38.26,2.7,0.04,2.19,0.79,0.47,0.72,0.07,0.86,1,0.68,2.19,2.51,0.93,1.66,46.43,8.99,0.97,0.18,0.66,19.31,0.64,0.04,0.82,1.25,1.58
"30","Adam Webster","Centre-Back",538,"Brighton","Premier League",28,"https://fbref.com/en/players/c40b6180/Adam-Webster","ENG",19,23,1696,0,0,0,0.08,0.01,0.9,5.09,0.37,0.85,0.05,0,0,0.01,76.36,4.65,0.02,5.52,0.21,0.05,0.85,0.05,0.58,1.38,0.9,1.86,2.55,0.42,3.26,84.32,4.88,0.42,0.16,1.99,54.39,0.69,0,0.27,0.11,3.59
"31","Adama Soumaoro","Centre-Back",426,"Bologna","Serie A",30,"https://fbref.com/en/players/7b075c75/Adama-Soumaoro","FRA",19,20,1682,0,0,0,0.02,0,0.32,2.09,0.05,0.11,0.05,0,0,0.01,49.82,4.95,0.01,1.23,0.05,0,0.37,0.05,0.8,0.86,0.8,2.03,3.37,0.21,3.57,56.99,1.07,0.11,0.11,5.35,33.39,0.16,0,0.43,0,3.48
"32","Adama Traoré","Winger",2795,"Wolves","Premier League",27,"https://fbref.com/en/players/9a28eba4/Adama-Traore","ESP",10,28,1275,0.14,0.07,0.14,0.08,0.25,5.08,2.26,9.88,1.2,0.42,0.01,0.02,0,30.85,4.67,0.2,1.06,1.34,0.92,2.75,0.21,0.42,0.49,0.21,1.06,0.64,0.21,3.03,43.76,23.36,6.21,2.82,3.21,28.94,2.54,1.41,2.33,5.08,4.62
"33","Ademola Lookman","Winger",155,"Atalanta","Serie A",25,"https://fbref.com/en/players/7c104bb7/Ademola-Lookman","NGA",20,28,1632,0.72,0.22,0.55,0.36,0.34,3.92,4.03,9.49,2.59,1.21,0.01,0.02,0.01,34.14,4.19,0.26,1.43,1.82,0.22,4.52,0.55,0.17,0.99,0.22,0.83,0,0.17,1.18,45.28,24.49,4.08,1.82,2.46,29.94,1.38,1.76,1.82,2.04,1.1
"34","Adil Aouchiche","Attacking Midfield",1419,"Lorient","Ligue 1",20,"https://fbref.com/en/players/b94b8be1/Adil-Aouchiche","FRA",1,11,250,0,0,0,0.18,0.04,5.76,8.28,7.2,2.88,1.08,0,0,0.03,55.44,26.89,0.04,5.4,1.08,0,1.8,0,0.72,0.36,1.44,3.24,0.36,0.36,4,69.12,21.96,2.52,0.72,10.3,53.64,3.6,0.36,1.8,6.12,0
"35","Adil Rami","Centre-Back",2533,"Troyes","Ligue 1",37,"https://fbref.com/en/players/8dbff17c/Adil-Rami","FRA",13,15,1154,0,0.08,0,0.05,0.05,0.31,1.87,0.16,0.62,0.16,0,0,0.01,40.24,6.47,0.01,2.73,0.16,0.08,0.62,0.08,0.86,0.7,1.48,2.57,3.98,1.01,4.06,49.76,2.03,0.55,0.23,3.35,34.86,0.55,0,0.86,0.39,4.68
"36","Adnan Januzaj","Winger",2287,"Sevilla","La Liga",28,"https://fbref.com/en/players/4737cebe/Adnan-Januzaj","BEL",1,2,47,0,0,0,0,0,0,1.91,11.49,0,0,NA,NA,NA,45.96,119.68,0,0,0,0,0,0,0,0,1.91,1.91,0,0,0,57.45,30.64,15.32,7.66,95.74,36.38,1.91,0,3.83,1.91,NA
"37","Adolfo Gaich","Forward",1046,"Hellas Verona","Serie A",24,"https://fbref.com/en/players/8dfed6e9/Adolfo-Gaich","ARG",6,10,535,0.17,0,0.17,0.25,0.03,0.67,1.35,4.54,2.52,0.67,0.01,0.04,0.02,22.21,9.56,0.02,1.01,0,0,2.52,0,0.5,0.67,0.34,1.18,1.01,0.17,4.21,34.32,14.97,2.02,1.35,11.22,19.51,0.34,0.67,1.85,0,5.79
"38","Adri Embarba","Winger",45,"Almería","La Liga",30,"https://fbref.com/en/players/db8f0eba/Adri-Embarba","ESP",12,21,976,0.09,0.28,0.09,0.15,0.27,4.06,2.86,7.56,2.4,1.01,0,0.01,0.01,34.76,5.82,0.18,1.38,0.83,0.46,4.15,0.37,1.66,1.29,0.65,3.87,0.46,1.11,4.61,52.75,26,6.82,2.58,3.49,30.43,2.95,0.92,1.57,7.93,1.84
"39","Adrian Grbić","Forward",1427,"Lorient","Ligue 1",26,"https://fbref.com/en/players/4a987ffa/Adrian-Grbic","AUT",0,2,25,0,0,0,0.72,0,3.6,0,7.2,10.8,0,0,NA,0.22,7.2,180,0,0,0,0,0,0,0,10.8,0,0,0,0,0,39.6,25.2,0,0,NA,21.6,3.6,0,0,0,0
"40","Adrien Hunou","Forward",79,"Angers","Ligue 1",29,"https://fbref.com/en/players/d14229f3/Adrien-Hunou","FRA",24,27,1894,0.19,0.05,0.19,0.29,0.1,1.38,2.42,5.94,1.9,0.81,0,0.01,0.01,28.84,3.52,0.04,1.47,0.48,0.05,1.95,0.24,0.9,1.28,0.24,2.04,0.33,0.76,2.05,39.11,14.78,1.33,0.48,1.7,29.98,1.43,0.43,2,0.52,1.78
"41","Adrien Rabiot","Midfield",1171,"Juventus","Serie A",28,"https://fbref.com/en/players/8794e251/Adrien-Rabiot","FRA",24,25,2118,0.34,0.13,0.34,0.21,0.08,1.87,4.33,3.1,1.44,0.85,0.01,0.02,0.01,37.73,3.42,0.07,3.1,0.76,0.04,2.76,0.3,1.1,1.36,0.89,2.85,1.4,0.98,2.12,49.84,14.41,1.78,0.89,2.12,27.49,2.08,0.08,1.53,1.1,2.43
"42","Adrien Tameze","Midfield",1063,"Hellas Verona","Serie A",29,"https://fbref.com/en/players/8da74c05/Adrien-Tameze","CMR",27,29,2371,0,0,0,0.03,0.03,0.95,3.42,1.67,0.3,0.04,0,0,0,33.37,2.87,0.03,2.88,0.42,0.04,1.52,0.11,0.91,1.67,1.1,2.66,1.82,0.8,1.56,43.73,7.17,1.4,0.72,1.95,21.67,1.14,0.15,1.02,0.65,1.82
"43","Adrien Thomasson","Attacking Midfield",1338,"Lens","Ligue 1",29,"https://fbref.com/en/players/c76b7567/Adrien-Thomasson","FRA",10,13,784,0.23,0.34,0.23,0.21,0.13,1.72,3.79,6.77,1.26,0.46,0.02,0.06,0.02,40.52,8.85,0.09,3.79,1.03,0.23,2.87,0.57,1.61,1.84,0.46,2.53,0.92,0.92,3.67,50.85,19.06,1.15,0.57,5.74,40.52,1.61,0.11,1.61,1.15,4.22
"44","Adrien Truffert","Full-Back",2111,"Rennes","Ligue 1",21,"https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert","FRA",24,28,1954,0,0.28,0,0.03,0.07,2.53,4.1,7.65,0.46,0.14,0,0,0,64.25,3.65,0.07,3.27,0.78,0.46,2.35,0.37,1.47,1.47,1.01,3.87,2.53,1.43,3.1,76.27,21.51,2.12,0.97,2.1,49.33,2.44,0.41,1.15,1.61,2.61
"45","Agustín Marchesín","Goalkeeper",549,"Celta Vigo","La Liga",35,"https://fbref.com/en/players/853b7c48/Agustin-Marchesin","ARG",19,19,1710,0,0,0,0,0,0,0.05,0,0,0,NA,NA,NA,33.42,3.72,0,0.32,0,0,0.11,0,0,0,0,0,0.37,0,0,35.63,0,0,0,NA,20.63,0,0,0.21,0,5.26
"46","Agustín Rogel","Centre-Back",1088,"Hertha BSC","Bundesliga",25,"https://fbref.com/en/players/ea42c03f/Agustin-Rogel","URU",12,15,1107,0,0.08,0,0.07,0,0.08,1.54,0.16,0.41,0,0,NA,0.01,38.37,6.22,0.01,0.81,0,0,0.41,0.08,0.73,0.89,0.89,2.28,3.5,0.81,5.8,47.15,1.3,0,0,NA,20.33,0.08,0,0.33,0,4.63
"47","Aihen Muñoz","Full-Back",2039,"Real Sociedad","La Liga",25,"https://fbref.com/en/players/228b0d9d/Aihen-Munoz","ESP",13,16,1144,0,0,0,0.01,0.03,1.89,2.52,5.19,0.31,0.08,0,0,0,52.16,6.04,0.06,1.97,0.94,0.55,1.97,0.08,1.26,1.34,0.39,2.6,2.12,1.34,3.71,63.25,18.72,1.97,0.79,3.15,31.7,1.57,0.08,0.47,2.91,3.93
"48","Aïman Maurer","attack",616,"Clermont Foot","Ligue 1",18,"https://fbref.com/en/players/87d31635/Aiman-Maurer","MAR",5,8,419,0,0,0,0.24,0.11,3.87,1.5,7.52,1.93,0.86,0,0,0.03,21.91,15.57,0.17,0.43,0.86,0.21,2.15,0,0.21,0,0.43,0.86,1.07,0.21,2.38,34.37,14.82,6.01,3.44,12.26,26.21,1.72,1.72,2.58,3.01,7.15
"49","Aimar Oroz","Attacking Midfield",1913,"Osasuna","La Liga",21,"https://fbref.com/en/players/7c363088/Aimar-Oroz","ESP",15,23,1362,0.2,0.2,0.13,0.15,0.06,1.19,3.63,6.81,1.12,0.4,0.01,0.02,0.01,35.75,5.19,0.07,2.18,0.99,0,3.17,0.4,0.53,0.99,1.12,2.18,0.33,0.13,0.83,46.45,20.35,3.04,1.45,3.16,29.34,1.26,0.26,2.84,0.33,2
"50","Ainsley Maitland-Niles","Winger",2321,"Southampton","Premier League",25,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles","ENG",11,18,1160,0,0,0,0,0.05,0.85,3.49,1.63,0.08,0.08,0,0,0,43.99,6.09,0.05,3.49,0.7,0.31,1.55,0.16,1.78,1.78,1.55,4.89,2.95,2.17,5.57,56.95,8.77,1.24,0.85,5.34,24.59,0.78,0.16,0.54,1.01,4.85
"51","Aïssa Mandi","Centre-Back",2676,"Villarreal","La Liga",31,"https://fbref.com/en/players/fbd6378b/Aissa-Mandi","ALG",8,13,756,0,0,0,0.01,0.02,0.6,2.38,0.71,0.12,0.12,0,0,0.01,53.33,10.65,0.02,1.79,0.24,0,0.71,0.24,0.95,0.83,1.55,2.98,3.81,0.36,4.46,62.02,5.36,0.36,0.12,3.96,32.74,0.71,0,0.95,0.24,6.62
"52","Aitor Fernández","Goalkeeper",1901,"Osasuna","La Liga",31,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez","ESP",16,16,1440,0,0,0,0,0,0,0.06,0,0,0,NA,NA,NA,36.56,4.1,0,1.25,0,0,0.19,0.06,0.06,0,0.06,0.12,0.62,0,0,38.75,0,0,0,NA,21.25,0,0,0,0,4.17
"53","Aitor Paredes","Centre-Back",189,"Athletic Club","La Liga",22,"https://fbref.com/en/players/b906757a/Aitor-Paredes","ESP",2,9,239,0,0,0,0.11,0,0.75,3.77,0.38,1.88,0.75,0,0,0.02,48.58,32.12,0,1.88,0,0,0.75,0,0.75,1.51,2.64,3.77,2.26,1.13,22.59,59.12,3.77,0,0,NA,36.9,0.38,0,0.75,0,15.06
"54","Aitor Ruibal","Winger",372,"Betis","La Liga",27,"https://fbref.com/en/players/a55d8df5/Aitor-Ruibal","ESP",13,22,1233,0,0,0,0.04,0.11,2.34,3.8,4.16,0.8,0.29,0,0,0,51.02,5.66,0.07,3.36,0.73,0.29,2.19,0.07,1.75,0.95,1.61,4.6,2.55,1.9,3.96,65.04,17.23,4.23,2.26,3.9,34.16,1.9,0.36,1.24,1.75,2.92
"55","Ajdin Hrustic","Midfield",1051,"Hellas Verona","Serie A",26,"https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic","AUS",3,6,226,0,0,0,0.12,0.24,2.79,3.19,4.78,1.19,0,0,NA,0.04,37.43,31.78,0.24,0.4,1.99,0.4,2.79,0.4,0.4,0.8,0,0.8,0.8,0.4,19.91,48.19,18.72,4.78,1.59,13.26,25.09,2.39,0.8,0.8,2.79,9.96
"56","Akim Zedadka","Full-Back",291,"Auxerre","Ligue 1",27,"https://fbref.com/en/players/0ff630d0/Akim-Zedadka","ALG",14,14,1189,0,0,0,0.03,0.06,1.59,3.1,4.09,0.61,0,0,NA,0,41.71,5.8,0.06,2.04,0.83,0.45,1.59,0.08,1.36,0.98,1.59,3.71,3.33,1.21,4.49,54.65,13.47,1.97,0.61,2.33,31.49,0.98,0.3,1.67,2.27,3.78
"57","Alassane Pléa","Forward",1491,"M'Gladbach","Bundesliga",30,"https://fbref.com/en/players/bc6bd723/Alassane-Plea","FRA",18,24,1554,0.12,0.52,0.06,0.19,0.22,2.03,4.69,7.76,1.45,0.58,0,0.01,0.01,38.11,3.97,0.29,3.53,1.74,0.35,3.42,0.69,0.41,1.22,0.58,1.45,0.81,0.41,1.93,47.61,20.1,1.68,0.87,2.99,28.55,1.8,0.64,1.51,2.32,2.03
"58","Alban Lafont","Goalkeeper",1766,"Nantes","Ligue 1",24,"https://fbref.com/en/players/4e7db402/Alban-Lafont","FRA",30,30,2699,0,0,0,0,0,0.03,0.03,0,0,0,NA,NA,NA,32.81,2.36,0,0.33,0.03,0,0.17,0,0,0,0,0,0.57,0,0,36.21,0,0.1,0.03,1.11,23.84,0,0,0.1,0,3.33
"59","Albert Sambi Lokonga","Midfield",111,"Arsenal","Premier League",23,"https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga","BEL",2,6,198,0,0,0,0,0,0,5.45,0.91,0,0,NA,NA,NA,63.64,42.86,0.05,7.73,0.45,0,1.82,0,0.45,0.45,2.27,2.73,0.91,0,0,70,13.18,0.91,0.45,22.73,43.64,2.73,0,2.27,0,27.27
"60","Alberth Elis","Winger",499,"Brest","Ligue 1",27,"https://fbref.com/en/players/104b4ad3/Alberth-Elis","HON",2,8,241,0,0,0,0.19,0.07,1.87,1.49,6.35,1.49,0.37,0,0,0.05,14.19,28.49,0.11,0.75,1.12,0.37,4.48,0,1.12,0.37,0.37,1.87,0.75,0.37,5.34,28.01,11.95,4.11,0.75,6.8,19.79,2.24,1.12,1.49,0.75,7.99
"61","Alberto Grassi","Midfield",818,"Empoli","Serie A",28,"https://fbref.com/en/players/6cc97b6a/Alberto-Grassi","ITA",7,17,605,0,0,0,0.06,0.01,0.3,4.17,0.74,0.89,0.3,0,0,0.01,41.36,11.77,0.01,2.38,0.6,0,0.89,0.15,2.38,1.93,2.83,5.5,4.31,1.49,11.44,57.12,6.1,0.6,0.15,3.72,21.42,0.45,0,1.04,0,9.67
"62","Alberto Moreno","Full-Back",2678,"Villarreal","La Liga",30,"https://fbref.com/en/players/11b9265b/Alberto-Moreno","ESP",10,17,919,0,0,0,0.05,0.09,2.55,3.13,6.37,1.08,0.2,0,0,0,52.69,8.01,0.09,0.98,1.76,0.39,1.66,0,0.29,0.98,1.47,2.64,2.06,0.59,3.46,62.48,23.11,1.08,0.39,3.56,33.39,2.15,0.29,0.49,2.84,6.12
"63","Alberto Perea","Winger",711,"Cádiz","La Liga",32,"https://fbref.com/en/players/5496cc91/Alberto-Perea","ESP",1,1,45,0,0,0,0,0,0,4,4,0,0,NA,NA,NA,24,166.6,0,0,0,0,2,0,0,4,0,4,0,0,NA,40,14,12,4,66.6,10,0,0,4,2,0
