"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"452","Danilo Pereira","Midfield",1935,"Paris S-G","Ligue 1",31,"https://fbref.com/en/players/8fd9996f/Danilo-Pereira","POR",20,26,1815,0.1,0,0.1,0.08,0.02,0.84,5.65,0.4,0.74,0.15,0.01,0.03,0.01,74.13,4.66,0.03,6.89,0.3,0,0.94,0.05,0.64,0.99,1.29,2.48,2.28,0.64,3.39,81.82,5.4,0.55,0.45,4.06,67.09,0.94,0.1,0.5,0.1,2.89
"453","Danilo Soares","Full-Back",398,"Bochum","Bundesliga",31,"https://fbref.com/en/players/c05f2f8c/Danilo-Soares","BRA",20,20,1547,0,0,0,0,0.07,0.81,4.83,1.28,0.06,0,0,NA,0,52.36,4.35,0.06,4.07,0.64,0.17,1.45,0.06,2.33,1.45,1.34,4.77,2.79,2.04,3.51,64.46,7.68,1.16,0.47,2.33,26.12,0.93,0.06,1.28,0.76,3.26
"454","Danny da Costa","Full-Back",1508,"Mainz 05","Bundesliga",29,"https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa","GER",11,19,985,0,0.18,0,0.02,0.08,2.74,4.57,6.03,0.46,0,0,NA,0,44.95,5.5,0.12,2.74,1.64,0.73,2.65,0.37,1.19,1.83,0.82,2.1,1.92,0.55,4.57,56.74,19.28,1.92,0.73,3.48,24.76,1.46,1.01,0.27,4.39,5.4
"455","Danny Ings","Forward",134,"Aston Villa","Premier League",30,"https://fbref.com/en/players/07802f7f/Danny-Ings","ENG",8,18,824,0.66,0,0.44,0.42,0.13,1.64,1.31,5.02,2.73,1.31,0.02,0.04,0.02,17.69,7.69,0.07,0.76,0.44,0,1.75,0.11,0.55,1.31,0.11,1.2,1.2,0.11,1.82,29.16,15.18,1.75,1.09,6.83,17.8,0.66,0.98,0.55,0.44,6.24
"456","Danny Latza","Midfield",2256,"Schalke 04","Bundesliga",33,"https://fbref.com/en/players/33b554b7/Danny-Latza","GER",5,15,570,0,0.16,0,0.09,0.02,0.79,3.79,1.26,1.74,0.16,0,0,0.01,41.37,12.47,0.05,2.21,0.63,0.32,1.42,0,1.58,1.89,0.32,2.37,1.58,0.63,6.32,53.68,10.74,1.58,0.32,3.16,24.16,0.16,0.16,1.58,2.21,6.08
"457","Danny Ward","Goalkeeper",1311,"Leicester City","Premier League",29,"https://fbref.com/en/players/d3ce0e89/Danny-Ward","WAL",26,26,2340,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,36.35,2.88,0,0.27,0,0,0.08,0,0.04,0,0,0.04,0.54,0.04,1.28,38.46,0,0,0,NA,21.5,0,0,0.19,0,3.85
"458","Danny Welbeck","Forward",539,"Brighton","Premier League",32,"https://fbref.com/en/players/ce5143da/Danny-Welbeck","ENG",16,23,1475,0.24,0.12,0.24,0.48,0.16,1.28,2.2,6.71,2.93,1.1,0,0.01,0.01,19.89,5.07,0.09,1.22,0.67,0,2.62,0.49,0.37,1.1,0.18,0.98,0.85,0.24,2.71,32.4,19.1,2.14,1.16,3.31,18.79,0.67,0.43,0.73,0,3.22
"459","Dante","Centre-Back",1842,"Nice","Ligue 1",39,"https://fbref.com/en/players/fd2bc67d/Dante","BRA",30,30,2669,0.03,0.07,0.03,0.04,0.04,0.27,3.91,0.07,0.67,0.1,0,0.01,0,70.14,3.03,0.03,4.11,0.24,0,0.71,0.07,0.91,1.48,1.32,2.9,3.57,0.67,1.87,79.99,1.99,0.3,0.13,1.5,63.09,0.24,0,0.51,0.07,2.42
"460","Dany Jean","Winger",2382,"Strasbourg","Ligue 1",20,"https://fbref.com/en/players/300ec91c/Dany-Jean","HAI",0,2,13,0,0,0,0,0,6.92,13.85,13.85,0,0,NA,NA,NA,62.31,307.38,0.69,0,6.92,0,6.92,0,0,6.92,0,0,0,0,0,90,55.38,6.92,0,0,62.31,6.92,0,0,0,0
"461","Darko Brašanac","Midfield",1897,"Osasuna","La Liga",31,"https://fbref.com/en/players/4accb7e0/Darko-Brasanac","SRB",9,25,1041,0.09,0.09,0.09,0.1,0.06,1.56,4.24,3.11,0.95,0.35,0.01,0.02,0.01,32.51,7.04,0.05,3.46,0.61,0.17,1.9,0.09,1.73,1.21,1.04,3.54,0.78,1.04,4.51,42.28,14.78,0.86,0.35,3.46,21.27,1.21,0,1.21,0.61,4.32
