"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"22",2023,"Clermont Foot","Ligue 1","team",27,27.9,48.9,31,341,2790,31,32,18,50,26,6,8,62,4,36.5,30.3,20.3,50.5,432,1082,1.03,0.58,1.61,0.84,1.42,1.18,0.65,1.83,0.98,1.63,"https://fbref.com/en/squads/d9676424/Clermont-Foot-Stats"
"23",2023,"Cremonese","Serie A","team",31,26.7,42.9,30,330,2700,30,27,13,40,23,4,6,71,1,31.7,26.9,19.8,46.7,424,929,0.9,0.43,1.33,0.77,1.2,1.06,0.66,1.71,0.9,1.56,"https://fbref.com/en/squads/9aad3a77/Cremonese-Stats"
"24",2023,"Crystal Palace","Premier League","team",26,27.6,44.1,31,341,2790,31,29,24,53,29,0,2,71,3,31,29.4,23.8,53.2,409,971,0.94,0.77,1.71,0.94,1.71,1,0.77,1.77,0.95,1.71,"https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats"
"25",2023,"Cádiz","La Liga","team",36,29.8,41.1,29,319,2610,29,22,14,36,19,3,3,84,7,28,25.7,18.3,44.1,346,702,0.76,0.48,1.24,0.66,1.14,0.96,0.63,1.6,0.89,1.52,"https://fbref.com/en/squads/ee7c297c/Cadiz-Stats"
"26",2023,"Dortmund","Bundesliga","team",29,26.5,57.5,28,308,2520,28,60,45,105,57,3,3,58,0,51.6,49.4,39.1,88.5,587,1294,2.14,1.61,3.75,2.04,3.64,1.84,1.4,3.24,1.76,3.16,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
"27",2023,"Eint Frankfurt","Bundesliga","team",27,27,52.1,28,308,2520,28,48,28,76,43,5,5,53,1,42.8,38.8,29.9,68.7,516,1102,1.71,1,2.71,1.54,2.54,1.53,1.07,2.6,1.39,2.46,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
"28",2023,"Elche","La Liga","team",32,29.2,42.2,29,319,2610,29,20,13,33,16,4,5,84,12,25.5,21.6,17,38.6,389,828,0.69,0.45,1.14,0.55,1,0.88,0.59,1.47,0.75,1.33,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
"29",2023,"Empoli","Serie A","team",30,25.9,47.7,30,330,2700,30,25,13,38,24,1,1,72,6,28.9,28.1,19.1,47.2,480,922,0.83,0.43,1.27,0.8,1.23,0.96,0.64,1.6,0.94,1.57,"https://fbref.com/en/squads/a3d88bd8/Empoli-Stats"
"30",2023,"Espanyol","La Liga","team",32,28.4,42.4,29,319,2610,29,35,22,57,32,3,3,75,9,33.5,31.2,25.4,56.6,381,830,1.21,0.76,1.97,1.1,1.86,1.16,0.88,2.03,1.07,1.95,"https://fbref.com/en/squads/a8661628/Espanyol-Stats"
"31",2023,"Everton","Premier League","team",28,27.3,43.5,31,341,2790,31,23,19,42,21,2,2,67,1,33.9,32.4,24.5,56.9,416,859,0.74,0.61,1.35,0.68,1.29,1.09,0.79,1.89,1.04,1.84,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats"
"32",2023,"Fiorentina","Serie A","team",29,27.4,56.7,30,330,2700,30,33,23,56,29,4,6,69,2,42.3,38,30.2,68.2,623,1322,1.1,0.77,1.87,0.97,1.73,1.41,1.01,2.42,1.27,2.27,"https://fbref.com/en/squads/421387cf/Fiorentina-Stats"
"33",2023,"Freiburg","Bundesliga","team",26,28.1,48.6,28,308,2520,28,41,27,68,35,6,7,55,1,38.9,33.3,22.8,56.1,342,870,1.46,0.96,2.43,1.25,2.21,1.39,0.81,2.2,1.19,2,"https://fbref.com/en/squads/a486e511/Freiburg-Stats"
"34",2023,"Fulham","Premier League","team",29,29,48.5,30,330,2700,30,39,24,63,35,4,7,71,1,36.9,31.4,22.6,54,518,1055,1.3,0.8,2.1,1.17,1.97,1.23,0.75,1.98,1.05,1.8,"https://fbref.com/en/squads/fd962109/Fulham-Stats"
"35",2023,"Getafe","La Liga","team",25,28,40.5,29,319,2610,29,27,16,43,23,4,7,90,8,26,20.6,15.2,35.8,286,757,0.93,0.55,1.48,0.79,1.34,0.9,0.53,1.42,0.71,1.24,"https://fbref.com/en/squads/7848bd64/Getafe-Stats"
"36",2023,"Girona","La Liga","team",29,26.8,51.3,29,319,2610,29,41,30,71,34,7,8,75,2,39,32.9,27.8,60.8,514,1060,1.41,1.03,2.45,1.17,2.21,1.34,0.96,2.3,1.14,2.1,"https://fbref.com/en/squads/9024a00a/Girona-Stats"
"37",2023,"Hellas Verona","Serie A","team",36,27.3,42.5,30,330,2700,30,22,17,39,22,0,0,82,3,28.8,28.8,23.1,51.9,423,885,0.73,0.57,1.3,0.73,1.3,0.96,0.77,1.73,0.96,1.73,"https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats"
"38",2023,"Hertha BSC","Bundesliga","team",26,26.8,42.9,28,308,2520,28,33,17,50,27,6,6,63,1,32.2,27.5,20.1,47.6,344,766,1.18,0.61,1.79,0.96,1.57,1.15,0.72,1.87,0.98,1.7,"https://fbref.com/en/squads/2818f8bc/Hertha-BSC-Stats"
